,tradeMonth,tradeYear,averageTransactionCount,securitySubtype,tradeReportDate,productType
0,12,2022,48684,,2023-01-01,MBS
1,12,2022,138439,GD,2023-01-01,TBA
2,12,2022,28388,NGD,2023-01-01,TBA
3,12,2022,19354,,2023-01-01,ABS
4,11,2022,53491,,2023-01-01,MBS
5,11,2022,142561,GD,2023-01-01,TBA
6,11,2022,34353,NGD,2023-01-01,TBA
7,11,2022,24243,,2023-01-01,ABS
8,10,2022,48887,,2023-01-01,MBS
9,10,2022,135656,GD,2023-01-01,TBA
10,10,2022,35280,NGD,2023-01-01,TBA
11,10,2022,38758,,2023-01-01,ABS
12,9,2022,48312,,2023-01-01,MBS
13,9,2022,132621,GD,2023-01-01,TBA
14,9,2022,35627,NGD,2023-01-01,TBA
15,9,2022,41169,,2023-01-01,ABS
16,8,2022,49489,,2023-01-01,MBS
17,8,2022,136806,GD,2023-01-01,TBA
18,8,2022,36320,NGD,2023-01-01,TBA
19,8,2022,32120,,2023-01-01,ABS
20,7,2022,47322,,2023-01-01,MBS
21,7,2022,137978,GD,2023-01-01,TBA
22,7,2022,31528,NGD,2023-01-01,TBA
23,7,2022,19845,,2023-01-01,ABS
24,6,2022,48704,,2023-01-01,MBS
25,6,2022,133813,GD,2023-01-01,TBA
26,6,2022,31929,NGD,2023-01-01,TBA
27,6,2022,22008,,2023-01-01,ABS
28,5,2022,54990,,2023-01-01,MBS
29,5,2022,129759,GD,2023-01-01,TBA
30,5,2022,39699,NGD,2023-01-01,TBA
31,5,2022,23918,,2023-01-01,ABS
32,4,2022,49438,,2023-01-01,MBS
33,4,2022,128088,GD,2023-01-01,TBA
34,4,2022,32992,NGD,2023-01-01,TBA
35,4,2022,32296,,2023-01-01,ABS
36,3,2022,47571,,2023-01-01,MBS
37,3,2022,134267,GD,2023-01-01,TBA
38,3,2022,34227,NGD,2023-01-01,TBA
39,3,2022,25543,,2023-01-01,ABS
40,2,2022,51015,,2023-01-01,MBS
41,2,2022,136909,GD,2023-01-01,TBA
42,2,2022,29203,NGD,2023-01-01,TBA
43,2,2022,23776,,2023-01-01,ABS
44,1,2022,51928,,2023-01-01,MBS
45,1,2022,138917,GD,2023-01-01,TBA
46,1,2022,33761,NGD,2023-01-01,TBA
47,1,2022,25658,,2023-01-01,ABS
48,1,2023,49686,,2023-02-01,MBS
49,1,2023,146331,GD,2023-02-01,TBA
50,1,2023,34480,NGD,2023-02-01,TBA
51,1,2023,21619,,2023-02-01,ABS
52,12,2022,48688,,2023-02-01,MBS
53,12,2022,138416,GD,2023-02-01,TBA
54,12,2022,28414,NGD,2023-02-01,TBA
55,12,2022,19370,,2023-02-01,ABS
56,11,2022,53491,,2023-02-01,MBS
57,11,2022,142572,GD,2023-02-01,TBA
58,11,2022,34202,NGD,2023-02-01,TBA
59,11,2022,24243,,2023-02-01,ABS
60,10,2022,48887,,2023-02-01,MBS
61,10,2022,135648,GD,2023-02-01,TBA
62,10,2022,35280,NGD,2023-02-01,TBA
63,10,2022,38758,,2023-02-01,ABS
64,9,2022,48312,,2023-02-01,MBS
65,9,2022,132621,GD,2023-02-01,TBA
66,9,2022,35627,NGD,2023-02-01,TBA
67,9,2022,41169,,2023-02-01,ABS
68,8,2022,49489,,2023-02-01,MBS
69,8,2022,136806,GD,2023-02-01,TBA
70,8,2022,36320,NGD,2023-02-01,TBA
71,8,2022,32120,,2023-02-01,ABS
72,7,2022,47320,,2023-02-01,MBS
73,7,2022,137978,GD,2023-02-01,TBA
74,7,2022,31528,NGD,2023-02-01,TBA
75,7,2022,19845,,2023-02-01,ABS
76,6,2022,48704,,2023-02-01,MBS
